Type,SKU,Name,Published,Is featured?,Visibility in catalog,Regular price,In stock?,Stock status,Manage stock?,Stock,Backorders allowed?,Attribute 1 name,Attribute 1 value(s),Attribute 1 default,Attribute 1 visible,Attribute 1 global,Attribute 1 variation,Images,Parent,Description,Short description
variation,ilia-gen1-015,ILIA 一代系列 - 一代哈密瓜,1,0,visible,299,1,instock,0,999,0,口味,一代哈密瓜,,1,0,1,https://sp2s.app/wp-content/uploads/2026/05/ilia-gen1.jpg,ilia-gen1,,台灣現貨，支援貨到付款；下單前可透過 LINE ID 聯繫確認口味、規格與庫存。
variation,ilia-gen1-016,ILIA 一代系列 - 一代草莓,1,0,visible,299,1,instock,0,999,0,口味,一代草莓,,1,0,1,https://sp2s.app/wp-content/uploads/2026/05/ilia-gen1.jpg,ilia-gen1,,台灣現貨，支援貨到付款；下單前可透過 LINE ID 聯繫確認口味、規格與庫存。
variation,ilia-gen1-017,ILIA 一代系列 - 一代荔枝,1,0,visible,299,1,instock,0,999,0,口味,一代荔枝,,1,0,1,https://sp2s.app/wp-content/uploads/2026/05/ilia-gen1.jpg,ilia-gen1,,台灣現貨，支援貨到付款；下單前可透過 LINE ID 聯繫確認口味、規格與庫存。
variation,ilia-gen1-018,ILIA 一代系列 - 一代梨山雪梨,1,0,visible,299,1,instock,0,999,0,口味,一代梨山雪梨,,1,0,1,https://sp2s.app/wp-content/uploads/2026/05/ilia-gen1.jpg,ilia-gen1,,台灣現貨，支援貨到付款；下單前可透過 LINE ID 聯繫確認口味、規格與庫存。
variation,ilia-gen1-019,ILIA 一代系列 - 一代莓果,1,0,visible,299,1,instock,0,999,0,口味,一代莓果,,1,0,1,https://sp2s.app/wp-content/uploads/2026/05/ilia-gen1.jpg,ilia-gen1,,台灣現貨，支援貨到付款；下單前可透過 LINE ID 聯繫確認口味、規格與庫存。
variation,ilia-gen1-020,ILIA 一代系列 - 一代雪碧,1,0,visible,299,1,instock,0,999,0,口味,一代雪碧,,1,0,1,https://sp2s.app/wp-content/uploads/2026/05/ilia-gen1.jpg,ilia-gen1,,台灣現貨，支援貨到付款；下單前可透過 LINE ID 聯繫確認口味、規格與庫存。
variation,ilia-gen1-021,ILIA 一代系列 - 一代菸草,1,0,visible,299,1,instock,0,999,0,口味,一代菸草,,1,0,1,https://sp2s.app/wp-content/uploads/2026/05/ilia-gen1.jpg,ilia-gen1,,台灣現貨，支援貨到付款；下單前可透過 LINE ID 聯繫確認口味、規格與庫存。
variation,ilia-gen1-022,ILIA 一代系列 - 一代葡萄,1,0,visible,299,1,instock,0,999,0,口味,一代葡萄,,1,0,1,https://sp2s.app/wp-content/uploads/2026/05/ilia-gen1.jpg,ilia-gen1,,台灣現貨，支援貨到付款；下單前可透過 LINE ID 聯繫確認口味、規格與庫存。
variation,ilia-gen1-023,ILIA 一代系列 - 一代綠豆,1,0,visible,299,1,instock,0,999,0,口味,一代綠豆,,1,0,1,https://sp2s.app/wp-content/uploads/2026/05/ilia-gen1.jpg,ilia-gen1,,台灣現貨，支援貨到付款；下單前可透過 LINE ID 聯繫確認口味、規格與庫存。
variation,ilia-gen1-024,ILIA 一代系列 - 一代蜜桃烏龍,1,0,visible,299,1,instock,0,999,0,口味,一代蜜桃烏龍,,1,0,1,https://sp2s.app/wp-content/uploads/2026/05/ilia-gen1.jpg,ilia-gen1,,台灣現貨，支援貨到付款；下單前可透過 LINE ID 聯繫確認口味、規格與庫存。
variation,ilia-gen1-025,ILIA 一代系列 - 一代鳳梨,1,0,visible,299,1,instock,0,999,0,口味,一代鳳梨,,1,0,1,https://sp2s.app/wp-content/uploads/2026/05/ilia-gen1.jpg,ilia-gen1,,台灣現貨，支援貨到付款；下單前可透過 LINE ID 聯繫確認口味、規格與庫存。
variation,ilia-gen1-026,ILIA 一代系列 - 一代龍井,1,0,visible,299,1,instock,0,999,0,口味,一代龍井,,1,0,1,https://sp2s.app/wp-content/uploads/2026/05/ilia-gen1.jpg,ilia-gen1,,台灣現貨，支援貨到付款；下單前可透過 LINE ID 聯繫確認口味、規格與庫存。
variation,ilia-gen1-027,ILIA 一代系列 - 一代薄荷,1,0,visible,299,1,instock,0,999,0,口味,一代薄荷,,1,0,1,https://sp2s.app/wp-content/uploads/2026/05/ilia-gen1.jpg,ilia-gen1,,台灣現貨，支援貨到付款；下單前可透過 LINE ID 聯繫確認口味、規格與庫存。
