Type,SKU,Name,Published,Is featured?,Visibility in catalog,Regular price,In stock?,Stock status,Manage stock?,Stock,Backorders allowed?,Attribute 1 name,Attribute 1 value(s),Attribute 1 default,Attribute 1 visible,Attribute 1 global,Attribute 1 variation,Images,Parent,Short description
variation,relx-pod-pro2-pods-015,RELX悅刻 POD PRO 2 菸彈 - 草莓,1,0,visible,299,1,instock,0,999,0,口味,草莓,,1,0,1,https://sp2s.app/wp-content/uploads/2026/05/relx-pod-pro2-pods.jpg,relx-pod-pro2-pods,台灣現貨，支援貨到付款；下單前可透過 LINE ID 聯繫確認口味、規格與庫存。
variation,relx-pod-pro2-pods-016,RELX悅刻 POD PRO 2 菸彈 - 荔枝,1,0,visible,299,1,instock,0,999,0,口味,荔枝,,1,0,1,https://sp2s.app/wp-content/uploads/2026/05/relx-pod-pro2-pods.jpg,relx-pod-pro2-pods,台灣現貨，支援貨到付款；下單前可透過 LINE ID 聯繫確認口味、規格與庫存。
variation,relx-pod-pro2-pods-017,RELX悅刻 POD PRO 2 菸彈 - 混合莓果,1,0,visible,299,1,instock,0,999,0,口味,混合莓果,,1,0,1,https://sp2s.app/wp-content/uploads/2026/05/relx-pod-pro2-pods.jpg,relx-pod-pro2-pods,台灣現貨，支援貨到付款；下單前可透過 LINE ID 聯繫確認口味、規格與庫存。
variation,relx-pod-pro2-pods-018,RELX悅刻 POD PRO 2 菸彈 - 清涼西瓜,1,0,visible,299,1,instock,0,999,0,口味,清涼西瓜,,1,0,1,https://sp2s.app/wp-content/uploads/2026/05/relx-pod-pro2-pods.jpg,relx-pod-pro2-pods,台灣現貨，支援貨到付款；下單前可透過 LINE ID 聯繫確認口味、規格與庫存。
variation,relx-pod-pro2-pods-019,RELX悅刻 POD PRO 2 菸彈 - 清新薄荷,1,0,visible,299,1,instock,0,999,0,口味,清新薄荷,,1,0,1,https://sp2s.app/wp-content/uploads/2026/05/relx-pod-pro2-pods.jpg,relx-pod-pro2-pods,台灣現貨，支援貨到付款；下單前可透過 LINE ID 聯繫確認口味、規格與庫存。
variation,relx-pod-pro2-pods-020,RELX悅刻 POD PRO 2 菸彈 - 雪碧,1,0,visible,299,1,instock,0,999,0,口味,雪碧,,1,0,1,https://sp2s.app/wp-content/uploads/2026/05/relx-pod-pro2-pods.jpg,relx-pod-pro2-pods,台灣現貨，支援貨到付款；下單前可透過 LINE ID 聯繫確認口味、規格與庫存。
variation,relx-pod-pro2-pods-021,RELX悅刻 POD PRO 2 菸彈 - 菠蘿,1,0,visible,299,1,instock,0,999,0,口味,菠蘿,,1,0,1,https://sp2s.app/wp-content/uploads/2026/05/relx-pod-pro2-pods.jpg,relx-pod-pro2-pods,台灣現貨，支援貨到付款；下單前可透過 LINE ID 聯繫確認口味、規格與庫存。
variation,relx-pod-pro2-pods-022,RELX悅刻 POD PRO 2 菸彈 - 黃金奇異果,1,0,visible,299,1,instock,0,999,0,口味,黃金奇異果,,1,0,1,https://sp2s.app/wp-content/uploads/2026/05/relx-pod-pro2-pods.jpg,relx-pod-pro2-pods,台灣現貨，支援貨到付款；下單前可透過 LINE ID 聯繫確認口味、規格與庫存。
variation,relx-pod-pro2-pods-023,RELX悅刻 POD PRO 2 菸彈 - 極涼青提,1,0,visible,299,1,instock,0,999,0,口味,極涼青提,,1,0,1,https://sp2s.app/wp-content/uploads/2026/05/relx-pod-pro2-pods.jpg,relx-pod-pro2-pods,台灣現貨，支援貨到付款；下單前可透過 LINE ID 聯繫確認口味、規格與庫存。
variation,relx-pod-pro2-pods-024,RELX悅刻 POD PRO 2 菸彈 - 極涼青檸,1,0,visible,299,1,instock,0,999,0,口味,極涼青檸,,1,0,1,https://sp2s.app/wp-content/uploads/2026/05/relx-pod-pro2-pods.jpg,relx-pod-pro2-pods,台灣現貨，支援貨到付款；下單前可透過 LINE ID 聯繫確認口味、規格與庫存。
variation,relx-pod-pro2-pods-025,RELX悅刻 POD PRO 2 菸彈 - 經典菸草,1,0,visible,299,1,instock,0,999,0,口味,經典菸草,,1,0,1,https://sp2s.app/wp-content/uploads/2026/05/relx-pod-pro2-pods.jpg,relx-pod-pro2-pods,台灣現貨，支援貨到付款；下單前可透過 LINE ID 聯繫確認口味、規格與庫存。
variation,relx-pod-pro2-pods-026,RELX悅刻 POD PRO 2 菸彈 - 葡萄,1,0,visible,299,1,instock,0,999,0,口味,葡萄,,1,0,1,https://sp2s.app/wp-content/uploads/2026/05/relx-pod-pro2-pods.jpg,relx-pod-pro2-pods,台灣現貨，支援貨到付款；下單前可透過 LINE ID 聯繫確認口味、規格與庫存。
variation,relx-pod-pro2-pods-027,RELX悅刻 POD PRO 2 菸彈 - 零度薄荷,1,0,visible,299,1,instock,0,999,0,口味,零度薄荷,,1,0,1,https://sp2s.app/wp-content/uploads/2026/05/relx-pod-pro2-pods.jpg,relx-pod-pro2-pods,台灣現貨，支援貨到付款；下單前可透過 LINE ID 聯繫確認口味、規格與庫存。
variation,relx-pod-pro2-pods-028,RELX悅刻 POD PRO 2 菸彈 - 綠豆,1,0,visible,299,1,instock,0,999,0,口味,綠豆,,1,0,1,https://sp2s.app/wp-content/uploads/2026/05/relx-pod-pro2-pods.jpg,relx-pod-pro2-pods,台灣現貨，支援貨到付款；下單前可透過 LINE ID 聯繫確認口味、規格與庫存。
variation,relx-pod-pro2-pods-029,RELX悅刻 POD PRO 2 菸彈 - 綠茶,1,0,visible,299,1,instock,0,999,0,口味,綠茶,,1,0,1,https://sp2s.app/wp-content/uploads/2026/05/relx-pod-pro2-pods.jpg,relx-pod-pro2-pods,台灣現貨，支援貨到付款；下單前可透過 LINE ID 聯繫確認口味、規格與庫存。
variation,relx-pod-pro2-pods-030,RELX悅刻 POD PRO 2 菸彈 - 蜜桃,1,0,visible,299,1,instock,0,999,0,口味,蜜桃,,1,0,1,https://sp2s.app/wp-content/uploads/2026/05/relx-pod-pro2-pods.jpg,relx-pod-pro2-pods,台灣現貨，支援貨到付款；下單前可透過 LINE ID 聯繫確認口味、規格與庫存。
variation,relx-pod-pro2-pods-031,RELX悅刻 POD PRO 2 菸彈 - 蜜桃烏龍茶,1,0,visible,299,1,instock,0,999,0,口味,蜜桃烏龍茶,,1,0,1,https://sp2s.app/wp-content/uploads/2026/05/relx-pod-pro2-pods.jpg,relx-pod-pro2-pods,台灣現貨，支援貨到付款；下單前可透過 LINE ID 聯繫確認口味、規格與庫存。
variation,relx-pod-pro2-pods-032,RELX悅刻 POD PRO 2 菸彈 - 熱情番石榴,1,0,visible,299,1,instock,0,999,0,口味,熱情番石榴,,1,0,1,https://sp2s.app/wp-content/uploads/2026/05/relx-pod-pro2-pods.jpg,relx-pod-pro2-pods,台灣現貨，支援貨到付款；下單前可透過 LINE ID 聯繫確認口味、規格與庫存。
variation,relx-pod-pro2-pods-033,RELX悅刻 POD PRO 2 菸彈 - 樹頂蘋果,1,0,visible,299,1,instock,0,999,0,口味,樹頂蘋果,,1,0,1,https://sp2s.app/wp-content/uploads/2026/05/relx-pod-pro2-pods.jpg,relx-pod-pro2-pods,台灣現貨，支援貨到付款；下單前可透過 LINE ID 聯繫確認口味、規格與庫存。
variation,relx-pod-pro2-pods-034,RELX悅刻 POD PRO 2 菸彈 - 橘子汽水,1,0,visible,299,1,instock,0,999,0,口味,橘子汽水,,1,0,1,https://sp2s.app/wp-content/uploads/2026/05/relx-pod-pro2-pods.jpg,relx-pod-pro2-pods,台灣現貨，支援貨到付款；下單前可透過 LINE ID 聯繫確認口味、規格與庫存。
variation,relx-pod-pro2-pods-035,RELX悅刻 POD PRO 2 菸彈 - 藍莓,1,0,visible,299,1,instock,0,999,0,口味,藍莓,,1,0,1,https://sp2s.app/wp-content/uploads/2026/05/relx-pod-pro2-pods.jpg,relx-pod-pro2-pods,台灣現貨，支援貨到付款；下單前可透過 LINE ID 聯繫確認口味、規格與庫存。
variation,relx-pod-pro2-pods-036,RELX悅刻 POD PRO 2 菸彈 - 覆盆子冰,1,0,visible,299,1,instock,0,999,0,口味,覆盆子冰,,1,0,1,https://sp2s.app/wp-content/uploads/2026/05/relx-pod-pro2-pods.jpg,relx-pod-pro2-pods,台灣現貨，支援貨到付款；下單前可透過 LINE ID 聯繫確認口味、規格與庫存。
